concept_id,concept_code,concept_name,vocabulary_id
36717156,721284006,Acidosis due to type 2 diabetes mellitus,SNOMED
43531588,791000119109,Angina associated with type 2 diabetes mellitus,SNOMED
45769888,87441000119104,Ankle ulcer due to type 2 diabetes mellitus,SNOMED
37016768,712883005,Autonomic neuropathy due to type 2 diabetes mellitus,SNOMED
45763582,60951000119105,Blindness due to type 2 diabetes mellitus,SNOMED
4221495,420756003,Cataract due to diabetes mellitus type 2,SNOMED
37018912,368591000119109,Diabetic hand syndrome due to type 2 diabetes mellitus,SNOMED
43531578,771000119108,Chronic kidney disease due to type 2 diabetes mellitus,SNOMED
43531559,751000119104,Chronic kidney disease stage 1 due to type 2 diabetes mellitus,SNOMED
43531566,741000119101,Chronic kidney disease stage 2 due to type 2 diabetes mellitus,SNOMED
43531653,731000119105,Chronic kidney disease stage 3 due to type 2 diabetes mellitus,SNOMED
43531577,721000119107,Chronic kidney disease stage 4 due to type 2 diabetes mellitus,SNOMED
43531562,711000119100,Chronic kidney disease stage 5 due to type 2 diabetes mellitus,SNOMED
37016163,12811000119100,Complication due to diabetes mellitus type 2,SNOMED
45769894,87921000119104,Cranial nerve palsy due to type 2 diabetes mellitus,SNOMED
45757474,1481000119100,Diabetes mellitus type 2 without retinopathy,SNOMED
43531616,1531000119102,Dermopathy due to type 2 diabetes mellitus,SNOMED
43531564,761000119102,Dyslipidemia due to type 2 diabetes mellitus,SNOMED
43531563,781000119106,Neuropathic arthropathy due to type 2 diabetes mellitus,SNOMED
43530653,1541000119106,Diabetic skin ulcer associated with type 2 diabetes mellitus,SNOMED
36712686,10660471000119109,Ulcer of left foot due to type 2 diabetes mellitus,SNOMED
36712687,10661671000119102,Ulcer of right foot due to type 2 diabetes mellitus,SNOMED
43531608,1491000119102,Vitreous hemorrhage due to type 2 diabetes mellitus,SNOMED
43531597,201000119106,Disorder due to well controlled type 2 diabetes mellitus,SNOMED
443732,422014003,Disorder due to type 2 diabetes mellitus,SNOMED
443733,422099009,Disorder of eye due to type 2 diabetes mellitus,SNOMED
45757280,111231000119109,Dyslipidemia with high density lipoprotein below reference range and triglyceride above reference range due to type 2 diabetes mellitus,SNOMED
45769906,90791000119104,End stage renal disease on dialysis due to type 2 diabetes mellitus,SNOMED
4177050,428007007,Erectile dysfunction due to type 2 diabetes mellitus,SNOMED
4223463,421779007,Exudative maculopathy due to type 2 diabetes mellitus,SNOMED
43530690,1521000119100,Foot ulcer due to type 2 diabetes mellitus,SNOMED
45769890,87461000119100,Ulcer of forefoot due to type 2 diabetes mellitus,SNOMED
4222876,421631007,Gangrene due to type 2 diabetes mellitus,SNOMED
37018728,713703005,Gastroparesis due to type 2 diabetes mellitus,SNOMED
45772019,41911000119107,Glaucoma due to type 2 diabetes mellitus,SNOMED
