concept_id,concept_code,concept_name,codeset
4084437,281566005,Abdominothoracic neuroblastoma,cancer_dx
4300558,403901001,Acantholytic squamous cell carcinoma,cancer_dx
4112744,254654004,Acantholytic squamous cell carcinoma of skin,cancer_dx
4187635,413389003,Accelerated phase chronic myeloid leukemia,cancer_dx
37204852,783771003,Acinar cell carcinoma of pancreas,cancer_dx
37311684,822969007,Acinar cell cystadenocarcinoma of lung,cancer_dx
37311683,822970008,Acinar cell cystadenocarcinoma of prostate,cancer_dx
35622697,764856008,Acquired cystic disease associated renal cell carcinoma,cancer_dx
4110726,254732008,Acral lentiginous malignant melanoma of skin,cancer_dx
4081867,278453007,Acute biphenotypic leukemia,cancer_dx
4173970,277604002,Acute eosinophilic leukemia,cancer_dx
138708,91855006,Acute leukemia,cancer_dx
135496,91854005,Acute leukemia in remission,cancer_dx
36715589,721308005,Acute leukemia of ambiguous lineage,cancer_dx
4153344,371012000,"Acute lymphoblastic leukemia, transitional pre-B-cell",cancer_dx
134305,91857003,Acute lymphoid leukemia,cancer_dx
141816,91856007,Acute lymphoid leukemia in remission,cancer_dx
36712834,1.2301E+13,Acute lymphoid leukemia relapse,cancer_dx
4079686,277602003,Acute megakaryoblastic leukemia,cancer_dx
4082485,277601005,Acute monoblastic leukemia,cancer_dx
44784490,698646006,Acute monoblastic leukemia in remission,cancer_dx
135768,413441006,Acute monocytic leukemia,cancer_dx
140672,91858008,Acute monocytic leukemia in remission,cancer_dx
4189938,413442004,Acute monocytic/monoblastic leukemia,cancer_dx
44807009,8.15361E+14,Acute myeloid leukaemia with 11q23 abnormality,cancer_dx
35623630,766045006,Acute myeloid leukemia and myelodysplastic syndrome related to alkylating agent,cancer_dx
35623633,766048008,Acute myeloid leukemia and myelodysplastic syndrome related to radiation,cancer_dx
35623631,766046007,Acute myeloid leukemia and myelodysplastic syndrome related to topoisomerase type 2 inhibitor,cancer_dx
140352,91861009,"Acute myeloid leukemia, disease",cancer_dx
36715587,721305008,Acute myeloid leukemia due to recurrent genetic abnormality,cancer_dx
135762,91860005,Acute myeloid leukemia in remission,cancer_dx
4233531,359631009,"Acute myeloid leukemia, minimal differentiation, FAB M0",cancer_dx
764781,6.1311E+13,"Acute myeloid leukemia, minimal differentiation, FAB M0 in remission",cancer_dx
35622696,764855007,Acute myeloid leukemia with CEBPA somatic mutations,cancer_dx
42539431,734522002,Acute myeloid leukemia with FMS-like tyrosine kinase-3 mutation,cancer_dx
3654662,838355002,Acute myeloid leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22) CBFB-MYH11,cancer_dx
36683269,780844005,Acute myeloid leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1,cancer_dx
4234749,359648001,"Acute myeloid leukemia with maturation, FAB M2",cancer_dx
4138903,426124006,"Acute myeloid leukemia with maturation, FAB M2, in remission",cancer_dx
40483761,445448008,Acute myeloid leukemia with myelodysplasia-related changes,cancer_dx
35622003,763309005,Acute myeloid leukemia with NPM1 somatic mutation,cancer_dx
4230253,359640008,"Acute myeloid leukemia without maturation, FAB M1",cancer_dx
764782,6.1321E+13,"Acute myeloid leukemia without maturation, FAB M1 in remission",cancer_dx
37116722,733598001,Acute myeloid leukemia with t(6;9)(p23;q34) translocation,cancer_dx
37110870,725390002,Acute myeloid leukemia with t(8;16)(p11;p13) translocation,cancer_dx
40481524,444911000,Acute myeloid leukemia with t(9:11)(p22;q23); MLLT3-MLL,cancer_dx
4116880,285839005,Acute myelomonocytic leukemia - eosinophilic variant,cancer_dx
4003187,110005000,"Acute myelomonocytic leukemia, FAB M4",cancer_dx
4142105,427658007,"Acute myelomonocytic leukemia, FAB M4, in remission",cancer_dx
4003184,109991003,Acute panmyelosis with myelofibrosis,cancer_dx
4002497,110004001,"Acute promyelocytic leukemia, FAB M3",cancer_dx
4137687,425869007,"Acute promyelocytic leukemia, FAB M3, in remission",cancer_dx
4112803,285769009,Acute promyelocytic leukemia - hypogranular variant,cancer_dx
4161912,433067002,Adamantinoma of femur,cancer_dx
4144194,307609003,Adamantinoma of long bone,cancer_dx
759810,1.01371E+14,Adamantinoma of long bone of lower limb,cancer_dx
37016272,2.9421E+13,Adenocarcinoma in adenomatous polyp,cancer_dx
765158,2.9431E+13,Adenocarcinoma in villous adenoma,cancer_dx
4111028,255110003,Adenocarcinoma of bladder,cancer_dx
3654656,838349007,Adenocarcinoma of Meckel diverticulum,cancer_dx
4161028,399490008,Adenocarcinoma of prostate,cancer_dx
35621807,763063001,Adenoid basal carcinoma of cervix uteri,cancer_dx
35621808,763064007,Adenoid cystic carcinoma of cervix uteri,cancer_dx
4114201,254987003,Adenoid cystic carcinoma of lacrimal gland,cancer_dx
4308627,423318000,Adenoid cystic carcinoma of oropharynx,cancer_dx
4313754,423615009,Adenoid cystic carcinoma of parotid gland,cancer_dx
