concept_id,concept_code,concept_name,vocabulary_id
19150,T67.7,Heat edema,ICD10CM
19263,T78.3,Angioneurotic edema,ICD10CM
22350,51599000,Edema of larynx,SNOMED
23799,195834004,Pharynx or nasopharynx edema,SNOMED
76227,102574007,Edema of leg,SNOMED
201346,198035003,Edema of penis,SNOMED
201907,198068005,Edema of male genital organs,SNOMED
252947,10519008,Acute pulmonary edema due to fumes AND/OR vapors,SNOMED
261600,40541001,Acute pulmonary edema,SNOMED
374950,89091004,Edema of eyelid,SNOMED
376690,2032001,Cerebral edema,SNOMED
380117,84178004,Conjunctival edema,SNOMED
432791,41291007,Angioedema,SNOMED
433595,267038008,Edema,SNOMED
435839,234097001,Lymphedema,SNOMED
436010,55017000,Heat edema,SNOMED
600644,1145131000,Exophthalmos due to orbital edema,SNOMED
603216,11995791000119103,Edema of amputation stump of right lower limb,SNOMED
604827,1003756003,Hevea brasiliensis latex protein-induced angioedema-urticaria,SNOMED
605070,1010337002,Edema blister,SNOMED
606005,1141974008,No peripheral edema present,SNOMED
608432,11995691000119109,Edema of amputation stump of left lower limb,SNOMED
619121,890183008,Lymphedema due to podoconiosis,SNOMED
761109,151000161105,Edema of periwound skin,SNOMED
762385,342481000119101,Edema of right eyelid,SNOMED
762386,342511000119108,Edema of left eyelid,SNOMED
762400,348101000119102,Periorbital edema of right eye,SNOMED
765062,15638121000119104,Lymphedema of bilateral upper limbs,SNOMED
765506,348551000119107,Periorbital edema of left eye,SNOMED
765559,6311000124108,History of angioedema,SNOMED
1568512,H05.22,Edema of orbit,ICD10CM
1569500,J81,Pulmonary edema,ICD10CM
1572261,R60,"Edema, not elsewhere classified",ICD10CM
3519468,538761000000105,O/E - oedema NOS,SNOMED
3529627,491261000000105,"PEHO (progressive encephalopathy with oedema, hypsarrhythmia and optic atrophy) syndrome",SNOMED
3529750,494971000000109,Oedema of finger,SNOMED
3529751,495001000000101,Oedema of wrist,SNOMED
3529754,495071000000109,Oedema of forearm,SNOMED
3529756,495091000000108,Oedema of elbow,SNOMED
3529757,495101000000100,Oedema of hand,SNOMED
3529759,495111000000103,Oedema of palm of hand,SNOMED
3529760,495121000000109,Oedema of dorsum of hand,SNOMED
3529761,495161000000101,Oedema of shoulder,SNOMED
3529796,503891000000106,Non-pitting oedema,SNOMED
3529834,505241000000103,Oedema of chest wall,SNOMED
3530046,511001000000109,Lymphoedema due to infection,SNOMED
3530222,517811000000107,Firm pitting oedema,SNOMED
3530223,517831000000104,Soft pitting oedema,SNOMED
3530224,517841000000108,Soft non-pitting oedema,SNOMED
3530225,517851000000106,Limb oedema extending to limb root,SNOMED
3530226,517861000000109,Limb oedema affecting adjacent trunk,SNOMED
3530233,517971000000105,Oedema of sole of foot,SNOMED
3530236,518001000000100,Oedema of dorsum of foot,SNOMED
3530240,518031000000106,Oedema of buttock,SNOMED
3530241,518061000000101,Oedema of suprapubic region,SNOMED
3530243,518081000000105,Oedema of sacral region,SNOMED
3530244,518091000000107,Oedema of genital region,SNOMED
3530245,518101000000104,Oedema of abdomen,SNOMED
3530247,518111000000102,Oedema of back,SNOMED
3530258,518521000000102,Bilateral lymphoedema of legs,SNOMED
3530259,518531000000100,Lymphoedema of leg,SNOMED
3530275,519351000000107,Lymphoedema due to venous disease,SNOMED
3530276,519361000000105,Lymphoedema due to inflammatory disease,SNOMED
3530277,519391000000104,Lymphoedema due to endocrine disease,SNOMED
3530278,519401000000101,Factitious lymphoedema,SNOMED
3530290,519801000000104,At risk of lymphoedema,SNOMED
3530480,525881000000104,Lymphovenous oedema,SNOMED
3530481,525911000000104,Skin folds of oedematous limb,SNOMED
3530494,526251000000103,Fluctuating oedema level,SNOMED
3534687,593211000000101,Oedema of larynx NOS,SNOMED
3535192,601601000000109,Acute pulmonary oedema unspecified,SNOMED
3535193,601621000000100,Acute pulmonary oedema NOS,SNOMED
3537494,636231000000103,Other lymphoedema NOS,SNOMED
3539182,660521000000108,Hereditary oedema of legs NOS,SNOMED
3540974,686561000000100,Pulmonary oedema NOS,SNOMED
3541208,690151000000105,Other lymphoedema,SNOMED
3541429,693351000000101,Conjunctival oedema NOS,SNOMED
3543692,763521000000108,Oedema worsening,SNOMED
3543715,764861000000104,Worsening pulmonary oedema,SNOMED
3545514,834611000000108,Chemical-induced pulmonary oedema,SNOMED
3545758,854991000000105,Lymphoedema of uncertain aetiology,SNOMED
3547115,938211000000106,Idiopathic oedema,SNOMED
3558512,755561000000105,Remitting seronegative symmetrical synovitis with pitting oedema,SNOMED
3558556,758271000000106,Referral to community lymphoedema service,SNOMED
3563356,517821000000101,Firm non-pitting oedema,SNOMED
3567844,559971000000106,Oedema NOS,SNOMED
3568347,526261000000100,Static oedema level,SNOMED
3569510,517961000000103,Oedema of toes,SNOMED
3571535,1051131000000109,Lipoedema,SNOMED
3580674,417881000000108,[D]Oedema NOS,SNOMED
3581652,504691000000107,Oedema of calf,SNOMED
3581653,504701000000107,Oedema of calf,SNOMED
3581654,504711000000109,Oedema of calf,SNOMED
3581664,505721000000102,Oedema of upper arm,SNOMED
3581841,518511000000108,Bilateral lymphoedema of arms,SNOMED
3585176,758081000000101,Remitting seronegative symmetrical synovitis with pitting oedema,SNOMED
3585457,781271000000107,Reduction in peripheral oedema,SNOMED
3654235,829986000,Bilateral feet edema,SNOMED
3654345,830139001,Edema of abdomen,SNOMED
3654968,840521002,Acute pulmonary edema caused by fume,SNOMED
3654969,840522009,Acute pulmonary edema caused by vapor,SNOMED
3655089,844575001,Respiratory angioedema,SNOMED
3655098,846577007,Angioedema of eyelid,SNOMED
3655099,846579005,Angioedema of lip,SNOMED
3655137,846694002,Acute edema,SNOMED
3655268,860797003,Generalized edema due to fluid overload,SNOMED
3655493,865918002,Edema of esophagus,SNOMED
3655642,866111002,Lymphedema due to chronic inflammation,SNOMED
3655643,866112009,Lymphedema due to recurrent infection,SNOMED
3656022,870733000,Edema of vocal cord,SNOMED
3656887,333471000119109,Edema of right orbit,SNOMED
3656971,339081000119104,Edema of left orbit,SNOMED
3657020,342471000119104,Edema of right lower eyelid,SNOMED
3657051,344831000119105,Bilateral edema of orbits,SNOMED
3657789,15930101000119109,Bilateral edema of upper eyelids,SNOMED
3657790,15930141000119106,Bilateral edema of lower eyelids,SNOMED
3661528,846575004,Angioedema,SNOMED
3661559,846758008,Drug-induced angioedema-urticaria,SNOMED
3662401,342501000119105,Edema of left lower eyelid,SNOMED
4003006,109773002,Edema of oral vestibule,SNOMED
4006920,205385004,Constriction ring of lower limb with lymphedema,SNOMED
4006948,205546005,Hereditary edema of legs NOS,SNOMED
4009044,111278002,Edema of glottis,SNOMED
4009381,102564009,Edema of hand,SNOMED
4010007,102558002,Edema of the upper extremity,SNOMED
4010008,102559005,Edema of arm,SNOMED
4010009,102566006,Edema of thumb,SNOMED
4010011,102573001,Edema of thigh,SNOMED
4010012,102575008,Edema of knee,SNOMED
4010362,102576009,Edema of foot,SNOMED
4010900,112647008,Transient edema,SNOMED
