concept_id,concept_name,concept_code,vocabulary_id,location
4086392,2 part fracture,282016009,SNOMED,site_unspec
4106207,3 part fracture,282017000,SNOMED,site_unspec
4106208,4 part fracture,282018005,SNOMED,site_unspec
4140021,Abnormal healing of fracture,426405000,SNOMED,site_unspec
4086377,Acetabular fracture types,281971005,SNOMED,pelvis
4137008,Alignment of fracture,263645005,SNOMED,site_unspec
3661670,Anderson and D'Alonso type I fracture,870217004,SNOMED,vertebra
3661672,Anderson and D'Alonso type II fracture,870219001,SNOMED,vertebra
3661671,Anderson and D'Alonso type III fracture,870218009,SNOMED,vertebra
4085392,Anderson D'Alonzo fracture type,281981009,SNOMED,vertebra
4106191,Anderson D'Alonzo type I fracture,281984001,SNOMED,vertebra
4085394,Anderson D'Alonzo type II fracture,281983007,SNOMED,vertebra
4085393,Anderson D'Alonzo type III fracture,281982002,SNOMED,vertebra
4067851,Angular malunion of fracture,203502000,SNOMED,site_unspec
4145736,Angulated fracture,307186006,SNOMED,site_unspec
4106195,Anterior column fracture,281998009,SNOMED,pelvis
4086389,Anterior column / posterior hemitransverse fracture,282002004,SNOMED,pelvis
4083955,Anterior wall fracture,281997004,SNOMED,pelvis
4144784,Anterior wedge fracture of vertebra,307137009,SNOMED,vertebra
4069314,Atrophic nonunion of fracture,203500008,SNOMED,site_unspec
619055,Atypical fracture of femur,890095006,SNOMED,hip_femur
4051960,Avulsion fracture,23482006,SNOMED,site_unspec
42537264,Avulsion fracture of anterior fibula,736517000,SNOMED,lowleg_ankle
762925,Avulsion fracture of lateral condyle of tibia,433811000124105,SNOMED,lowleg_ankle
45763685,Avulsion fracture of medial epicondyle of humerus,700147004,SNOMED,humerus_elbow
37116551,Avulsion of head of fibula,733296003,SNOMED,lowleg_ankle
4083505,Avulsion of ligament with bony fragment,281602002,SNOMED,site_unspec
42536836,Avulsion of ligament with bony fragment of lateral malleolus,735844006,SNOMED,lowleg_ankle
42536838,Avulsion of ligament with bony fragment of medial malleolus,735846008,SNOMED,lowleg_ankle
37116550,Avulsion of tibial tuberosity,733295004,SNOMED,lowleg_ankle
4183283,Barton's fracture,54645004,SNOMED,forearm_wrist
4136840,Basicervical fracture of neck of femur,263228009,SNOMED,hip_femur
4189553,Bennett's fracture,61653009,SNOMED,hand
4135736,Bilateral fracture of condylar head and midline fracture of mandible,263177009,SNOMED,skull_face
42539257,Bilateral sacral insufficiency fracture,31580001000004106,SNOMED,vertebra
40281899,Bimalleolar fracture,123974003,SNOMED,lowleg_ankle
40323538,Bimalleolar fracture of ankle,157247009,SNOMED,lowleg_ankle
4134335,Bimalleolar fracture of ankle,263244000,SNOMED,lowleg_ankle
40323465,Blow out fracture of orbit,157181006,SNOMED,skull_face
4138292,Blow out fracture of orbit,263167007,SNOMED,skull_face
44806744,Bone fracture healed,802781000000108,SNOMED,site_unspec
