concept_id,concept_code,concept_name,vocabulary_id
45591453,I10,Essential (primary) hypertension,ICD10
45577680,P00.0,Fetus and newborn affected by maternal hypertensive disorders,ICD10
45539091,O13,Gestational [pregnancy-induced] hypertension,ICD10
45596189,I15.2,Hypertension secondary to endocrine disorders,ICD10
45557535,I15.1,Hypertension secondary to other renal disorders,ICD10
45591479,I67.4,Hypertensive encephalopathy,ICD10
45576864,I13,Hypertensive heart and renal disease,ICD10
45543165,I13.9,"Hypertensive heart and renal disease, unspecified",ICD10
45552780,I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,ICD10
45572075,I13.0,Hypertensive heart and renal disease with (congestive) heart failure,ICD10
45572076,I13.1,Hypertensive heart and renal disease with renal failure,ICD10
45548007,I11,Hypertensive heart disease,ICD10
45538369,I11.0,Hypertensive heart disease with (congestive) heart failure,ICD10
45576863,I11.9,Hypertensive heart disease without (congestive) heart failure,ICD10
45567162,I12,Hypertensive renal disease,ICD10
45605778,I12.9,Hypertensive renal disease without renal failure,ICD10
45596187,I12.0,Hypertensive renal disease with renal failure,ICD10
45577702,P29.2,Neonatal hypertension,ICD10
45548008,I15.8,Other secondary hypertension,ICD10
45572762,O11,Pre-eclampsia superimposed on chronic hypertension,ICD10
45601777,O10.0,"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",ICD10
45755599,O10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",ICD10
45548698,O10.3,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium",ICD10
45534169,O10.1,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",ICD10
45582443,O10.2,"Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium",ICD10
45539088,O10.4,"Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium",ICD10
45572077,I15.0,Renovascular hypertension,ICD10
45562338,I15,Secondary hypertension,ICD10
45567163,I15.9,"Secondary hypertension, unspecified",ICD10
45563054,O16,Unspecified maternal hypertension,ICD10
45548700,O10.9,"Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium",ICD10
35207668,I10,Essential (primary) hypertension,ICD10CM
1571652,O13,Gestational [pregnancy-induced] hypertension without significant proteinuria,ICD10CM
37200965,O13.4,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating childbirth",ICD10CM
37200966,O13.5,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating the puerperium",ICD10CM
45563051,O13.1,"Gestational [pregnancy-induced] hypertension without significant proteinuria, first trimester",ICD10CM
45548703,O13.2,"Gestational [pregnancy-induced] hypertension without significant proteinuria, second trimester",ICD10CM
45563052,O13.3,"Gestational [pregnancy-induced] hypertension without significant proteinuria, third trimester",ICD10CM
45548704,O13.9,"Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester",ICD10CM
35207677,I15.2,Hypertension secondary to endocrine disorders,ICD10CM
35207676,I15.1,Hypertension secondary to other renal disorders,ICD10CM
1569121,I12,Hypertensive chronic kidney disease,ICD10CM
35207672,I12.9,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",ICD10CM
35207671,I12.0,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,ICD10CM
37200492,I16,Hypertensive crisis,ICD10CM
37200495,I16.9,"Hypertensive crisis, unspecified",ICD10CM
37200494,I16.1,Hypertensive emergency,ICD10CM
35207832,I67.4,Hypertensive encephalopathy,ICD10CM
1569122,I13,Hypertensive heart and chronic kidney disease,ICD10CM
35207673,I13.0,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",ICD10CM
35207674,I13.2,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",ICD10CM
1569123,I13.1,Hypertensive heart and chronic kidney disease without heart failure,ICD10CM
45543164,I13.10,"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",ICD10CM
45596188,I13.11,"Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease",ICD10CM
1569120,I11,Hypertensive heart disease,ICD10CM
35207669,I11.0,Hypertensive heart disease with heart failure,ICD10CM
35207670,I11.9,Hypertensive heart disease without heart failure,ICD10CM
45543026,H35.03,Hypertensive retinopathy,ICD10CM
45562228,H35.033,"Hypertensive retinopathy, bilateral",ICD10CM
45552669,H35.032,"Hypertensive retinopathy, left eye",ICD10CM
45567040,H35.031,"Hypertensive retinopathy, right eye",ICD10CM
45547866,H35.039,"Hypertensive retinopathy, unspecified eye",ICD10CM
37200493,I16.0,Hypertensive urgency,ICD10CM
35210518,P29.2,Neonatal hypertension,ICD10CM
35210395,P00.0,Newborn affected by maternal hypertensive disorders,ICD10CM
35207678,I15.8,Other secondary hypertension,ICD10CM
45605875,I97.3,Postprocedural hypertension,ICD10CM
45567885,O10.02,Pre-existing essential hypertension complicating childbirth,ICD10CM
