"concept_id","concept_name","concept_code","vocabulary_id"
40711670,"150 ML Metformin 100 MG/ML Oral Solution by Colonis","OMOP4746013","RxNorm Extension"
21081240,"Metformin 100 MG/ML Oral Solution by Actavis","OMOP351411","RxNorm Extension"
41414655,"100 ML Metformin 100 MG/ML Oral Solution [Metfoliquid Geriasan] Box of 1 by Infectopharm","OMOP2612617","RxNorm Extension"
35896450,"100 ML metformin 100 MG/ML Oral Solution by Accord","OMOP5040686","RxNorm Extension"
40711663,"150 ML Metformin 170 MG/ML Oral Solution by A A H","OMOP4746020","RxNorm Extension"
21147832,"150 ML Metformin 100 MG/ML Oral Solution by Zentiva","OMOP325582","RxNorm Extension"
21169706,"Metformin 100 MG/ML Oral Solution by A A H","OMOP351409","RxNorm Extension"
43721431,"100 ML Metformin 100 MG/ML Oral Solution [Metfoliquid Geriasan]","OMOP835613","RxNorm Extension"
37496783,"metformin hydrochloride 100 MG/ML Extended Release Suspension","2200518","RxNorm"
41429428,"150 ML Metformin 100 MG/ML Oral Solution [Metformin Glenmark] Box of 1 by Glenmark","OMOP2627390","RxNorm Extension"
36418037,"150 ML Metformin 100 MG/ML Oral Solution [Metfoliquid Gerias]","OMOP4760354","RxNorm Extension"
36418040,"150 ML Metformin 200 MG/ML Oral Solution [Metfoliquid Gerias]","OMOP4760357","RxNorm Extension"
41416316,"100 ML Metformin 100 MG/ML Oral Solution Box of 1 by Infectopharm","OMOP2614278","RxNorm Extension"
41425966,"100 ML Metformin 100 MG/ML Oral Solution Box of 1","OMOP2623928","RxNorm Extension"
40733404,"Metformin 170 MG/ML Oral Solution by A A H","OMOP4724162","RxNorm Extension"
35886925,"metformin 170 MG/ML Oral Solution by Medihealth","OMOP5034359","RxNorm Extension"
43847907,"150 ML Metformin 100 MG/ML Oral Solution [Metfoliquid Geriasan] Box of 4","OMOP843521","RxNorm Extension"
21137791,"100 ML Metformin 100 MG/ML Oral Solution by A A H","OMOP321628","RxNorm Extension"
36420232,"Metformin 200 MG/ML Oral Solution Box of 1","OMOP4762519","RxNorm Extension"
36420226,"Metformin 100 MG/ML Oral Solution [Metfoliquid Gerias]","OMOP4762513","RxNorm Extension"
21078983,"100 ML Metformin 100 MG/ML Oral Solution by Almus","OMOP321632","RxNorm Extension"
