"concept_id","concept_name","concept_code","vocabulary_id"
2105896,"Adding walker to previously applied cast","29440","CPT4"
4036105,"Adjusting of splint","228603009","SNOMED"
4035413,"Adjustment of cast brace","239700001","SNOMED"
4079717,"Adjustment of external splintage","239695008","SNOMED"
4083541,"Adjustment of plaster cast","239696009","SNOMED"
45888407,"Application, cast","1005549","CPT4"
2105844,"Application, cast; elbow to finger (short arm)","29075","CPT4"
2105830,"Application, cast; figure-of-eight","29049","CPT4"
2105846,"Application, cast; finger (eg, contracture)","29086","CPT4"
2105845,"Application, cast; hand and lower forearm (gauntlet)","29085","CPT4"
2105842,"Application, cast; plaster Velpeau","29058","CPT4"
2105831,"Application, cast; shoulder spica","29055","CPT4"
2105843,"Application, cast; shoulder to hand (long arm)","29065","CPT4"
40376685,"Application of above elbow plaster cast","180296006","SNOMED"
4079597,"Application of above elbow plaster cast","239667008","SNOMED"
4079715,"Application of above knee cast brace with knee hinges","239684002","SNOMED"
40376687,"Application of above knee plaster cast","180298007","SNOMED"
4029417,"Application of adhesive strapping across umbilicus","238207007","SNOMED"
4083534,"Application of below elbow plaster cast","239668003","SNOMED"
40376686,"Application of below elbow plaster cast","180297002","SNOMED"
4035597,"Application of below knee cast brace with ankle hinges","239685001","SNOMED"
4035290,"Application of below knee plaster cast","239676001","SNOMED"
40376688,"Application of below knee plaster cast","180299004","SNOMED"
4075965,"Application of Bennett's plaster cast","225159001","SNOMED"
2105826,"Application of body cast, shoulder to hips","29035","CPT4"
45889594,"Application of body cast, shoulder to hips","1014600","CPT4"
4010117,"Application of body cast, shoulder to hips","112720007","SNOMED"
2105828,"Application of body cast, shoulder to hips; including 1 thigh","29044","CPT4"
2105829,"Application of body cast, shoulder to hips; including both thighs","29046","CPT4"
2105827,"Application of body cast, shoulder to hips; including head, Minerva type","29040","CPT4"
4035293,"Application of buttress strapping","239690003","SNOMED"
4041643,"Application of cast","118480003","SNOMED"
40311510,"Application of cast","150718000","SNOMED"
4151661,"Application of cast brace","310890002","SNOMED"
4288293,"Application of cast, plaster splint","69737004","SNOMED"
45888677,"Application of Casts and Strapping","1005535","CPT4"
4047501,"Application of cast, sugar tong","1237000","SNOMED"
4233293,"Application of clubfoot cast","439847000","SNOMED"
2105898,"Application of clubfoot cast with molding or manipulation, long or short leg","29450","CPT4"
4079598,"Application of Colles plaster cast","239669006","SNOMED"
2105892,"Application of cylinder cast (thigh to ankle)","29365","CPT4"
4194622,"Application of cylinder cast, thigh to ankle","67699001","SNOMED"
4079603,"Application of cylinder plaster cast","239675002","SNOMED"
4311801,"Application of dressing, soft cast","85694002","SNOMED"
40311564,"Application of elastoplast strapping","150767003","SNOMED"
4207800,"Application of elastoplast strapping","311761008","SNOMED"
40377923,"Application of elastoplast strapping","182602001","SNOMED"
4035288,"Application of external splintage","239665000","SNOMED"
45890465,"Application of finger splint","1005562","CPT4"
4084162,"Application of finger splint, dynamic","24191008","SNOMED"
2105851,"Application of finger splint; dynamic","29131","CPT4"
4263743,"Application of finger splint, static","46223001","SNOMED"
2105850,"Application of finger splint; static","29130","CPT4"
46273174,"Application of focused rigidity cast","712499007","SNOMED"
44810745,"Application of focused rigidity cast","880371000000108","SNOMED"
4035291,"Application of forearm cast brace","239680006","SNOMED"
4079714,"Application of forearm cast brace with wrist hinges","239683008","SNOMED"
44791700,"Application of fracture strapping","297951000000107","SNOMED"
4108846,"Application of functional cast brace","180294009","SNOMED"
4078746,"Application of Futura splint","180318005","SNOMED"
4195724,"Application of halo type body cast","79444008","SNOMED"
2105811,"Application of halo type body cast (see 20661-20663 for insertion)","29000","CPT4"
4035295,"Application of herring bone strapping","239692006","SNOMED"
4132400,"Application of hip spica cast","127599007","SNOMED"
45888994,"Application of hip spica cast","1005574","CPT4"
