"concept_id","concept_name","concept_code","vocabulary_id"
4076157,"Anterior decompression of fracture of spine","178676003","SNOMED"
4034460,"Application of spinal traction system","239550006","SNOMED"
2106055,"Arthroscopically aided repair of large osteochondritis dissecans lesion, talar dome fracture, or tibial plafond fracture, with or without internal fixation (includes arthroscopy)","29892","CPT4"
45890091,"Arthroscopically aided treatment of intercondylar spine(s) and/or tuberosity fracture(s) of the knee, with or without manipulation","1005641","CPT4"
2105996,"Arthroscopically aided treatment of intercondylar spine(s) and/or tuberosity fracture(s) of the knee, with or without manipulation; with internal or external fixation (includes arthroscopy)","29851","CPT4"
2105995,"Arthroscopically aided treatment of intercondylar spine(s) and/or tuberosity fracture(s) of the knee, with or without manipulation; without internal or external fixation (includes arthroscopy)","29850","CPT4"
45889892,"Arthroscopically aided treatment of tibial fracture, proximal (plateau)","1005644","CPT4"
2105998,"Arthroscopically aided treatment of tibial fracture, proximal (plateau); bicondylar, includes internal fixation, when performed (includes arthroscopy)","29856","CPT4"
2105997,"Arthroscopically aided treatment of tibial fracture, proximal (plateau); unicondylar, includes internal fixation, when performed (includes arthroscopy)","29855","CPT4"
37017042,"Arthroscopic primary reduction and fixation of fracture of neck of femur using dynamic hip screw","713220005","SNOMED"
4261074,"Arthroscopic reduction of bicondylar fracture of proximal tibia with internal fixation","440650005","SNOMED"
4151965,"Arthroscopic reduction of fracture","311447002","SNOMED"
4205780,"Arthroscopic reduction of fracture of tibial plateau with internal fixation","439250005","SNOMED"
4010248,"Arthroscopy of wrist with internal fixation for fracture","112752007","SNOMED"
2105993,"Arthroscopy, wrist, surgical; internal fixation for fracture or instability","29847","CPT4"
3570382,"Balloon kyphoplasty of fracture of spine","282721000000102","SNOMED"
4139039,"Balloon kyphoplasty of fracture of spine","426243004","SNOMED"
4170947,"Bone immobilization","274474001","SNOMED"
2106590,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with tracheal/bronchial dilation or closed reduction of fracture","31630","CPT4"
4305153,"Bronchoscopy with closed reduction of fracture","81545004","SNOMED"
4122850,"Cerclage wiring of fracture","257948005","SNOMED"
4233579,"Closed manual reduction of articular fracture of interphalangeal joint","440226001","SNOMED"
4207136,"Closed manual reduction of articular fracture of metacarpophalangeal joint","440558007","SNOMED"
4208624,"Closed manual reduction of fracture of distal lateral condyle of femur","440627004","SNOMED"
4232234,"Closed manual reduction of fracture of distal medial condyle of femur","439425009","SNOMED"
4231631,"Closed manual reduction of fracture of head of femur","439423002","SNOMED"
4234636,"Closed manual reduction of fracture of head of radius","440341003","SNOMED"
4259697,"Closed manual reduction of fracture of neck of radius","439989007","SNOMED"
4235952,"Closed manual reduction of fracture of phalanx of foot","439988004","SNOMED"
4232107,"Closed manual reduction of fracture of posterior malleolus","439365009","SNOMED"
4232557,"Closed manual reduction of fracture of shaft of femur and skeletal traction","439937002","SNOMED"
4232086,"Closed manual reduction of fracture of shaft of femur and skin traction","439217005","SNOMED"
4208327,"Closed manual reduction of intertrochanteric fracture of femur","440361009","SNOMED"
4260975,"Closed manual reduction of peritrochanteric fracture of femur","440572003","SNOMED"
40262955,"Closed (or no) reduction of fracture and external fixation","179132002","SNOMED"
40262907,"Closed (or no) reduction of fracture and internal fixation","179090009","SNOMED"
