"concept_id","concept_name","concept_code","vocabulary_id","pcornet_vocabulary_id","category","ingredient"
43726014,"candesartan 8 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Candecor Comp]","OMOP798177","RxNorm Extension","RX","arb","candesartan"
40961130,"eprosartan 400 MG Oral Tablet Box of 98","OMOP2159092","RxNorm Extension","RX","arb","eprosartan"
42938801,"Hydrochlorothiazide / valsartan Oral Tablet [MAXDIOPLUS]","OMOP4665468","RxNorm Extension","RX","arb","valsartan"
42955805,"olmesartan 20 MG Oral Tablet [OLMERON]","OMOP4682346","RxNorm Extension","RX","arb","olmesartan"
43126527,"CANDESARTAN SANDOZ","OMOP433572","RxNorm Extension","RX","arb","candesartan"
2012844,"hydrochlorothiazide 12.5 MG / telmisartan 80 MG Oral Tablet [TELMI-ON PLUS] by Hankook Korus","OMOP4965477","RxNorm Extension","RX","arb","telmisartan"
41132973,"sacubitril 49 MG / valsartan 51 MG Oral Tablet [Entresto] Box of 28 by Kohlpharma","OMOP2330935","RxNorm Extension","RX","arb","valsartan"
40954464,"candesartan 4 MG [Candesartan Hormosan]","OMOP2152426","RxNorm Extension","RX","arb","candesartan"
40948179,"Hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet [Valsartan Hennig] Box of 56 by Hennig","OMOP2146141","RxNorm Extension","RX","arb","valsartan"
21150761,"olmesartan 40 MG Oral Tablet [Olmetec] Box of 30 by Mawdsley-Brooks","OMOP365501","RxNorm Extension","RX","arb","olmesartan"
41062677,"irbesartan 75 MG Oral Tablet [Irbesartan Abz] Box of 98","OMOP2260639","RxNorm Extension","RX","arb","irbesartan"
44050467,"Hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet by Sivem","OMOP1045098","RxNorm Extension","RX","arb","irbesartan"
44464095,"Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet","50090192100","NDC","ND","arb","valsartan"
43136290,"irbesartan 150 MG Delayed Release Oral Tablet [Aprovel] Box of 56 by Sanofi","OMOP459992","RxNorm Extension","RX","arb","irbesartan"
44425058,"Losartan Potassium 25 MG Oral Tablet","68788678801","NDC","ND","arb","losartan"
42664428,"olmesartan medoxomil 40 MG Oral Tablet","42571020305","NDC","ND","arb","olmesartan"
21056232,"azilsartan 80 MG Oral Tablet Box of 28","OMOP266252","RxNorm Extension","RX","arb","azilsartan"
41032288,"Hydrochlorothiazide 12.5 MG / irbesartan 150 MG Delayed Release Oral Tablet [Irbesartan Basics]","OMOP2230250","RxNorm Extension","RX","arb","irbesartan"
