"concept_id","concept_name","concept_code","vocabulary_id","category"
43786171,"candesartan 16 MG [Candesartancilexetil Mylan]","OMOP695335","RxNorm Extension","raas"
43260158,"Amlodipine 5 MG / valsartan 80 MG Oral Tablet [Exforge] Box of 7","OMOP544588","RxNorm Extension","raas"
43136310,"irbesartan 300 MG Delayed Release Oral Tablet [Aprovel]","OMOP460116","RxNorm Extension","raas"
2064757,"amlodipine 10 MG / telmisartan 40 MG Oral Tablet [TROIKA]","OMOP4966053","RxNorm Extension","raas"
43215438,"Indapamide 1.25 MG / Perindopril 3.5 MG Delayed Release Oral Tablet","OMOP480380","RxNorm Extension","raas"
36217716,"amlodipine / olmesartan Oral Product","1152285","RxNorm","raas"
43857159,"Enalapril 20 MG Oral Tablet [Enalapril Stada] by Stada","OMOP673825","RxNorm Extension","raas"
40995790,"telmisartan 80 MG Oral Tablet [Telmisartan Ratiopharm]","OMOP2193752","RxNorm Extension","raas"
43200938,"candesartan 8 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [CANDESARTAN/HYDROCHLOROTHIAZIDE SANDOZ]","OMOP447647","RxNorm Extension","raas"
43276945,"candesartan 8 MG [Adesan]","OMOP570412","RxNorm Extension","raas"
35764763,"quinapril 5 MG Delayed Release Oral Tablet [Accupro] Box of 30 by Waymade","OMOP2766224","RxNorm Extension","raas"
41168820,"candesartan 32 MG Oral Tablet [Candesartan 1a Pharma] Box of 56 by 1 A","OMOP2366782","RxNorm Extension","raas"
44020400,"Phl-Fosinopril","OMOP1015031","RxNorm Extension","raas"
43672350,"Hydrochlorothiazide 25 MG / telmisartan 80 MG [Telmisartan Hexal Comp]","OMOP796884","RxNorm Extension","raas"
21121658,"Ramipril 1.25 MG Oral Tablet by A A H","OMOP373397","RxNorm Extension","raas"
41229427,"Hydrochlorothiazide 25 MG / Ramipril 5 MG Oral Tablet [Ramipril Hct Almus] Box of 20 by Almus","OMOP2427389","RxNorm Extension","raas"
43696109,"Losartan 100 MG [Losartan Aristo]","OMOP691568","RxNorm Extension","raas"
41002668,"Enalapril 50 MG Oral Tablet [Enalapril Accedo] Box of 100","OMOP2200630","RxNorm Extension","raas"
41001139,"Hydrochlorothiazide 12.5 MG / Losartan 50 MG Oral Tablet [Losartan Hct Sandoz] Box of 56","OMOP2199101","RxNorm Extension","raas"
2064601,"amlodipine 5 MG / rosuvastatin 5 MG / telmisartan 40 MG [TELOSTOP PLUS]","OMOP4965889","RxNorm Extension","raas"
43785949,"Losartan 12.5 MG [Losartan Aristo]","OMOP691660","RxNorm Extension","raas"
43290000,"Ramipril 10 MG Oral Tablet Box of 30 by Ranbaxy","OMOP547154","RxNorm Extension","raas"
40740321,"Hydrochlorothiazide 25 MG / Losartan 100 MG Oral Tablet by Crescent","OMOP4716840","RxNorm Extension","raas"
19107373,"trandolapril 1 MG / verapamil 180 MG Extended Release Oral Tablet","431825","RxNorm","raas"
2059349,"hydrochlorothiazide 25 MG / losartan 91.6 MG Oral Tablet [UCODINPLUS] by Korea Green","OMOP4960408","RxNorm Extension","raas"
43168114,"Captopril 50 MG Oral Tablet [CAPTOPRIL MYLAN] Box of 30 by Mylan","OMOP449383","RxNorm Extension","raas"
42950394,"Amlodipine 10 MG / Losartan 50 MG Oral Tablet [AMLOSAR]","OMOP4676970","RxNorm Extension","raas"
35408207,"Bisoprolol 8.48 MG / Perindopril 7 MG Delayed Release Oral Tablet","OMOP1141792","RxNorm Extension","raas"
43672351,"Hydrochlorothiazide 25 MG / telmisartan 80 MG Oral Tablet [Mogilarta]","OMOP797086","RxNorm Extension","raas"
43272115,"Fosinopril 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet by Sterling","OMOP532706","RxNorm Extension","raas"
43171612,"Indapamide 0.625 MG / Perindopril 1.67 MG Oral Tablet [PERINDOPRIL/INDAPAMIDE TEVA]","OMOP480374","RxNorm Extension","raas"
21137948,"150 ML Perindopril 0.8 MG/ML Oral Solution by Special Order","OMOP325461","RxNorm Extension","raas"
2065062,"telmisartan 40 MG Oral Tablet [TELSAS] by Ahngook New Pharm","OMOP4966375","RxNorm Extension","raas"
44033925,"Ramipril 10 MG Oral Capsule [Jamp-Ramipril]","OMOP1028556","RxNorm Extension","raas"
42933324,"valsartan 80 MG [V-VAN]","OMOP4660058","RxNorm Extension","raas"
783749,"Amlodipine 5 MG / Perindopril 4 MG [Perindopril / Amlodipine Krka]","OMOP4831577","RxNorm Extension","raas"
43178961,"Hydrochlorothiazide 12.5 MG / telmisartan 80 MG [TELMISARTAN/HYDROCHLOROTHIAZIDE ZYDUS]","OMOP447347","RxNorm Extension","raas"
21132194,"Captopril 50 MG Oral Tablet [Capoten] by Bristol Myers Squibb","OMOP386446","RxNorm Extension","raas"
43193556,"Indapamide 1.25 MG / Perindopril 3.5 MG Oral Tablet [PERINDOPRIL/INDAPAMIDE E] Box of 90","OMOP480401","RxNorm Extension","raas"
974885,"amlodipine 5 MG / hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Exforge HCT]","848149","RxNorm","raas"
43802456,"Felodipine 5 MG / Ramipril 5 MG Oral Tablet [Unimax] by Astrazeneca","OMOP666175","RxNorm Extension","raas"
43696114,"Losartan 12.5 MG Oral Tablet [Losartan-Kalium Tad] by TAD","OMOP691700","RxNorm Extension","raas"
43034011,"Perindopril 1.67 MG Delayed Release Oral Tablet Box of 90 by KRKA","OMOP4849057","RxNorm Extension","raas"
2035747,"olmesartan 10 MG Oral Tablet [UMETAN]","OMOP4934916","RxNorm Extension","raas"
21113916,"Hydrochlorothiazide 25 MG / Losartan 100 MG Oral Tablet by Mawdsley-Brooks","OMOP407986","RxNorm Extension","raas"
43191267,"irbesartan 300 MG Oral Tablet [IRBESARTAN ARROW] Box of 90","OMOP460218","RxNorm Extension","raas"
41095012,"Hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet [Irbesartan Hctz] Box of 56","OMOP2292974","RxNorm Extension","raas"
21072836,"quinapril 20 MG Oral Tablet Box of 28 by Ranbaxy","OMOP373973","RxNorm Extension","raas"
43199301,"Ramipril 10 MG [RAMIPRIL BOUCHARA RECORDATI]","OMOP462064","RxNorm Extension","raas"
21111958,"Ramipril 10 MG Oral Tablet by DE","OMOP373008","RxNorm Extension","raas"
2012723,"hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet [IRBETANPLUS-F]","OMOP4963075","RxNorm Extension","raas"
43840568,"olmesartan 20 MG [Olmesartan-Abz]","OMOP699661","RxNorm Extension","raas"
21091814,"Hydrochlorothiazide 25 MG / olmesartan 20 MG Oral Tablet [Olmetec] by Daiichi Sankyo","OMOP365574","RxNorm Extension","raas"
42929942,"Amlodipine 10 MG / candesartan 16 MG Oral Tablet [MACHKHAN]","OMOP4656717","RxNorm Extension","raas"
40165788,"Enalapril Maleate 5 MG Chewable Tablet","858938","RxNorm","raas"
40845353,"Hydrochlorothiazide 25 MG / Losartan 100 MG Oral Tablet [Losarplus Al] Box of 28","OMOP2043315","RxNorm Extension","raas"
44086361,"Fosinopril 20 MG Oral Tablet [Mylan-Fosinopril]","OMOP1080992","RxNorm Extension","raas"
2062721,"amlodipine 10 MG / hydrochlorothiazide 12.5 MG / olmesartan 40 MG Oral Tablet [SAMVIKAR HCT] by Samsung","OMOP4963968","RxNorm Extension","raas"
42955628,"Hydrochlorothiazide 12.5 MG / olmesartan 20 MG [OLMEACT PLUS]","OMOP4682166","RxNorm Extension","raas"
43283404,"Lisinopril 10 MG Oral Tablet [Zinopril]","OMOP536955","RxNorm Extension","raas"
43028875,"Hydrochlorothiazide 12.5 MG / Losartan 100 MG Delayed Release Oral Tablet Box of 28 by MSD","OMOP4843957","RxNorm Extension","raas"
36786999,"Amlodipine 5 MG / olmesartan 40 MG Oral Tablet Box of 100","OMOP4775265","RxNorm Extension","raas"
43273804,"Ramipril 2.5 MG [Ramace]","OMOP547269","RxNorm Extension","raas"
43858411,"candesartan 4 MG Oral Tablet [Candesartan Abz]","OMOP695136","RxNorm Extension","raas"
35766499,"Amlodipine 5 MG / valsartan 80 MG Delayed Release Oral Tablet Box of 28","OMOP2767960","RxNorm Extension","raas"
40906051,"Losartan 25 MG Oral Tablet [Losartan Hexal] Box of 100","OMOP2104013","RxNorm Extension","raas"
40140542,"Amlodipine / valsartan Oral Tablet [Exforge]","722129","RxNorm","raas"
2064798,"amlodipine 5 MG / telmisartan 40 MG Oral Tablet [CJ TELMIAMLO] by CJ","OMOP4966095","RxNorm Extension","raas"
21141373,"Ramipril 5 MG Oral Capsule Box of 28 by Mylan","OMOP373080","RxNorm Extension","raas"
36260781,"Amlodipine 5 MG / atorvastatin 20 MG / Perindopril 5 MG Oral Tablet [Lipertance] Box of 90","OMOP3111656","RxNorm Extension","raas"
36884801,"Perindopril 7 MG Oral Tablet Box of 30","OMOP990420","RxNorm Extension","raas"
42941481,"Enalapril Oral Tablet [NARIL]","OMOP4668127","RxNorm Extension","raas"
21072889,"Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet [CoAprovel] by Sanofi","OMOP374929","RxNorm Extension","raas"
43714147,"candesartan 8 MG Oral Tablet [Candesartan Heumann] by Heumann","OMOP695281","RxNorm Extension","raas"
40851176,"valsartan 40 MG Oral Tablet [Valsartan Hexal] Box of 28 by Novartis","OMOP2049138","RxNorm Extension","raas"
41001059,"Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Cordinate] Box of 280","OMOP2199021","RxNorm Extension","raas"
36270582,"Hydrochlorothiazide 12.5 MG / telmisartan 40 MG Oral Tablet [TELMISARTAN/HYDROCHLOROTHIAZIDE SANDOZ] Box of 28","OMOP3121457","RxNorm Extension","raas"
40828043,"Ramipril 2.5 MG [Rami Q]","OMOP2026005","RxNorm Extension","raas"
2064315,"hydrochlorothiazide / telmisartan Oral Tablet [COSTELMI PLUS]","OMOP4965617","RxNorm Extension","raas"
2035601,"hydrochlorothiazide / olmesartan Oral Tablet [OLTEC PLUS]","OMOP4934752","RxNorm Extension","raas"
40957636,"candesartan Oral Tablet [Candesartan Puren]","OMOP2155598","RxNorm Extension","raas"
43600063,"Hydrochlorothiazide 25 MG / olmesartan 40 MG Oral Tablet [Olmes] by Daiichi Sankyo","OMOP801289","RxNorm Extension","raas"
43160324,"Losartan 50 MG Delayed Release Oral Tablet [LOSARTAN PFIZER] Box of 30 by Pfizer","OMOP477089","RxNorm Extension","raas"
41293162,"candesartan 32 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Blopresid] Box of 56 by Cc","OMOP2491124","RxNorm Extension","raas"
41001053,"Hydrochlorothiazide 12.5 MG / valsartan 80 MG Delayed Release Oral Tablet [Cosamson] Box of 28","OMOP2199015","RxNorm Extension","raas"
42950685,"Hydrochlorothiazide 12.5 MG / Losartan 50 MG [LOZATAL PLUS]","OMOP4677258","RxNorm Extension","raas"
21072807,"Lisinopril 5 MG Oral Tablet [Zestril] Box of 28","OMOP373672","RxNorm Extension","raas"
2064540,"amlodipine 5 MG / rosuvastatin 5 MG / telmisartan 80 MG Oral Tablet [TREBLE]","OMOP4965833","RxNorm Extension","raas"
41252449,"Enalapril 5 MG Oral Tablet [Enadura] Box of 50","OMOP2450411","RxNorm Extension","raas"
41185125,"Perindopril 5 MG Oral Tablet [Coversum] Box of 100","OMOP2383087","RxNorm Extension","raas"
42955345,"Amlodipine 10 MG / olmesartan 40 MG [OLMEDIQUAL]","OMOP4681884","RxNorm Extension","raas"
43188302,"Ramipril 2.5 MG Oral Tablet [RAMIPRIL KRKA] Box of 90 by KRKA","OMOP465012","RxNorm Extension","raas"
36267763,"Perindopril 8 MG Oral Tablet [Perindopril Servier] Box of 100","OMOP3118638","RxNorm Extension","raas"
43171591,"Perindopril 3.5 MG Delayed Release Oral Tablet [PERINDOPRIL ARGININE BIOGARAN] Box of 30 by Biogaran","OMOP480160","RxNorm Extension","raas"
